RB, JJS, IN, 2
JJ, RBS, IN, 1
CD, VBP, NN, 1
WP, RB, PRP, 9
CD, VBZ, NN, 1
NNS, VBD, RBR, 2
JJ, JJ, JJ, 89
JJ, VBP, NNS, 3
RB, RBR, DT, 5
EX, VBG, CC, 1
CC, WRB, TO, 11
CD, VBZ, IN, 9
WRB, VBZ, JJ, 3
CC, WRB, PRP$, 4
MD, PRP, VB, 168
VBZ, IN, IN, 52
VBG, TO, NNP, 4
NN, JJS, VBD, 1
NNS, NN, PRP, 15
PRP, JJ, DT, 4
RB, VBP, VBZ, 19
CD, WDT, RB, 4
DT, JJ, PRP, 62
VBD, RP, CC, 57
CD, WDT, MD, 3
RBR, JJ, DT, 7
-NONE-, VBD, TO, 1
JJ, RB, CC, 25
JJ, JJ, NN, 851
WP$, NN, TO, 2
VBZ, VBP, RB, 8
EX, NN, VBD, 1
TO, RB, WRB, 1
VBZ, TO, PRP, 26
IN, WP, VBZ, 33
WRB, VBD, NNS, 3
TO, RB, VBN, 5
WDT, NN, VBZ, 55
IN, TO, WDT, 1
IN, TO, VB, 226
VBP, IN, PDT, 4
NNP, IN, PRP, 2
RB, VBZ, JJ, 45
VB, PRP, VBP, 26
TO, VB, WDT, 10
IN, WDT, VBD, 9
WP$, NN, MD, 2
VBP, NN, WDT, 3
PRP$, JJR, VBN, 2
RB, IN, JJ, 379
PDT, IN, PRP, 2
RB, WDT, VBN, 2
JJ, NNS, -NONE-, 2
MD, RB, PRP$, 2
-NONE-, VBP, VBZ, 1
TO, DT, DT, 16
JJR, NNS, NN, 5
VBG, EX, IN, 1
TO, PRP$, CC, 6
RB, VBZ, NN, 59
VBN, NNS, -NONE-, 5
NN, IN, PDT, 4
RB, VBP, NN, 91
IN, VBG, WRB, 5
NN, -NONE-, NN, 5
RB, VB, RB, 119
JJS, RB, RB, 8
DT, JJR, VBD, 7
IN, IN, PDT, 4
VBG, DT, DT, 17
WDT, NN, JJ, 5
VBG, PRP$, NN, 196
PRP, DT, IN, 21
VBZ, NN, NN, 79
NN, WP, VBG, 2
RB, VB, EX, 5
CC, IN, VBG, 27
NNS, WP$, JJ, 2
DT, JJR, JJR, 1
NN, VBZ, IN, 536
WDT, EX, VBP, 1
JJ, WP, NN, 9
IN, PRP$, NNS, 886
VB, NNS, NN, 10
NN, VB, VBG, 6
PRP, CD, JJR, 1
MD, IN, DT, 25
DT, NN, VBZ, 1813
JJ, CC, WDT, 5
JJS, NNS, NNS, 2
NN, VBP, CC, 4
CC, IN, DT, 651
RB, NNS, NN, 3
CC, IN, VBN, 10
TO, PRP, CD, 2
VBZ, RB, JJR, 21
CC, WP, MD, 9
VBP, NN, IN, 104
VBG, TO, JJS, 1
PRP$, NN, EX, 5
TO, CD, DT, 7
VBZ, VBD, RB, 5
RBR, VBG, NN, 2
NN, IN, NNP, 90
VBN, VBD, JJ, 7
IN, WDT, IN, 8
VBD, DT, MD, 4
RB, MD, PRP$, 1
CC, JJ, DT, 59
DT, RB, VBZ, 33
VBG, CC, NNP, 1
IN, DT, VBG, 212
VBZ, PRP, NNS, 1
WP, VBD, VBD, 4
VBD, VB, PRP$, 5
VBN, NN, NN, 207
WDT, WRB, RB, 1
CD, VBN, VBG, 1
JJ, WDT, VBD, 5
CC, JJR, VBN, 4
TO, DT, RBR, 5
VBP, -NONE-, JJ, 2
VBD, NN, VB, 3
VBN, VBN, VBP, 1
JJS, NNS, MD, 8
VBN, WP, JJ, 1
WP, PRP, MD, 61
PRP, NN, RP, 1
VBN, JJ, NNP, 1
VBZ, WRB, CC, 1
VB, PRP$, IN, 20
DT, JJS, CD, 1
VB, VB, JJ, 4
VBD, CC, NNP, 2
VBG, VBD, PRP$, 1
NNS, -NONE-, DT, 2
VB, JJ, PRP$, 10
PRP, VBZ, PRP, 104
NNS, VBZ, PRP$, 6
CC, PRP$, NNS, 120
VBZ, WDT, JJ, 1
JJ, VBZ, IN, 14
VBP, EX, VBZ, 1
MD, CC, WRB, 1
WDT, IN, JJS, 1
VB, DT, VB, 2
PRP, NN, CC, 15
NN, CC, VBD, 773
PRP$, RB, DT, 2
NNS, NNP, JJ, 1
RB, VBG, JJ, 36
IN, WRB, DT, 17
VBZ, JJ, RB, 44
VBZ, NNP, VBD, 1
WP, CD, VBD, 1
JJ, VBG, NN, 17
RB, MD, CC, 3
PRP, PRP, CC, 4
NNP, CC, PRP$, 2
VBD, VBG, JJS, 1
VBN, VBN, NN, 30
VBP, NN, VBD, 29
IN, RB, PRP, 65
WRB, RB, MD, 5
VBZ, VBN, IN, 550
VB, CD, JJ, 17
WP, VBN, JJ, 6
VBD, VBD, NNS, 1
RB, -NONE-, VBG, 1
NN, NNS, WRB, 30
VBZ, RBS, JJ, 1
JJR, TO, PRP$, 4
VB, VBG, WDT, 1
PRP$, VBN, RB, 2
PRP, NNP, VBD, 2
WP$, NN, NN, 5
RB, VBN, WP, 7
NNS, EX, VBD, 6
RB, VBD, WP, 12
IN, PDT, IN, 3
TO, PRP, JJR, 2
PRP, JJS, RB, 1
VB, JJ, RBR, 2
RB, VBZ, VBP, 6
PDT, RB, RB, 2
JJ, VBP, IN, 3
CC, NN, MD, 61
VB, WDT, VBG, 1
RB, VBN, NNS, 89
CC, CC, NNS, 1
VBG, RB, WP, 3
JJ, NNP, NN, 23
VBG, RP, JJ, 5
NNP, IN, NNS, 1
IN, VBN, VBP, 1
JJ, VBZ, RBR, 1
VBN, CC, JJR, 2
VBD, PRP, EX, 1
VBN, WRB, VBN, 2
VBN, VBZ, JJ, 6
VBG, PRP$, IN, 2
VB, NNS, MD, 5
PDT, VBN, WRB, 1
VB, PRP$, DT, 5
DT, VBD, CC, 1
IN, DT, VBN, 517
VBN, VBG, DT, 34
VBG, VBN, RP, 13
TO, VBG, TO, 3
VBP, NNS, MD, 2
VBN, RP, TO, 34
EX, NN, VBZ, 2
IN, NNS, WP, 57
NNS, WRB, JJ, 19
JJ, RB, JJ, 74
PRP, CC, EX, 1
VBP, VBZ, WP, 2
VBG, JJR, JJ, 10
VBD, PDT, NN, 3
RBS, VBG, JJ, 2
IN, PRP$, CC, 26
RB, WRB, NN, 6
PRP, VBG, IN, 34
DT, VBP, WP, 1
VBN, VBP, TO, 1
VBD, PRP$, CC, 2
VBN, TO, WRB, 1
NNP, VBD, TO, 3
EX, WDT, NNS, 1
NN, WP$, NNS, 9
PRP$, WRB, IN, 1
NN, WDT, MD, 148
CD, TO, PRP$, 2
VBP, DT, RBS, 10
VB, CD, JJR, 5
CC, VBD, NNP, 3
VBG, VBP, DT, 1
VBN, TO, VBG, 1
VBZ, CD, CC, 3
CD, WP, IN, 1
NN, TO, IN, 7
JJS, VBG, NNS, 1
TO, NNS, VBP, 3
VBG, JJR, PRP$, 1
VBZ, NNS, WP, 2
PRP, IN, MD, 3
WP$, RB, NN, 3
VBN, WRB, NNS, 1
DT, VBN, WDT, 1
VBG, VBN, PRP, 7
VBZ, RBR, TO, 3
NN, VBP, MD, 1
VBD, RBR, IN, 9
VBP, JJR, NN, 15
PRP, WRB, DT, 7
RBS, JJ, DT, 2
