FAWN	F AO N
PARDON	P AA R D AH N
YELLOW	Y EH L OW
FOUR	F AO R
HATH	HH AE TH
SLEEP	S L IY P
FRIEND'S	F R EH N D Z
HANGING	HH AE NG IH NG
HANGING(2)	HH AE NG G IH NG
MANSION	M AE N SH AH N
APPETITE	AE P AH T AY T
EVERMORE	EH V ER M AO R
HATE	HH EY T
FORGET	F ER G EH T
FORGET(2)	F AO R G EH T
WHOSE	HH UW Z
FEEDING	F IY D IH NG
VILE	V AY L
GRANTING	G R AE N T IH NG
GRANTING(2)	G R AE N IH NG
SWEETEST	S W IY T AH S T
PRESENTS	P R EH Z AH N T S
PRESENTS(2)	P R IY Z EH N T S
THERE'S	DH EH R Z
WHATSOEVER	W AH T S OW EH V ER
WHATSOEVER(2)	HH W AH T S OW EH V ER
UNDER	AH N D ER
LORD	L AO R D
SORRY	S AA R IY
PRIDE	P R AY D
SWAY	S W EY
WORTH	W ER TH
WONDROUS	W AH N D R AH S
DISCASED	D IH S K EY S T
DISPENSE	D IH S P EH N S
HADST	HH AE D S T
INHEARSE	IH N HH ER S
WOMEN'S	W IH M AH N Z
SHOOT	SH UW T
EVERY	EH V ER IY
EVERY(2)	EH V ERIY
EVERY(2)	EH V R IY
FOUL	F AW L
NOURISHED	N ER IH SH T
UNCERTAIN	AH N S ER T AH N
SPECIAL	S P EH SH AH L
BELIEVED	B IH L IY V D
UTTERING	AH T ER IH NG
UTTERING(2)	AH T ERIH NG
OFFEND	AH F EH N D
UNREST	AH N R EH S T
GRACED	G R EY S T
SUCCESSION	S AH K S EH SH AH N
GRACES	G R EY S IH Z
TRIUMPH	T R AY AH M F
ENJOY	EH N JH OY
CHARTER	CH AA R T ER
FORCE	F AO R S
TIRED	T AY ER D
TIRED(2)	T AYER D
AWAKE	AH W EY K
RAZED	R EY Z D
RAZED(2)	R EY Z ED
FEATHERS	F EH DH ER Z
ASSURE	AH SH UH R
TIRES	T AY ER Z
TIRES(2)	T AYER Z
CRAVE	K R EY V
PERSUADE	P ER S W EY D
QUILL	K W IH L
EVEN	IY V IH N
EVEN(2)	IYVIH N
BEATED	B IY T IH D
CAPTAIN	K AE P T AH N
HIDE	HH AY D
NE'ER	N EH R
SOLEMN	S AA L AH M
THUNDER	TH AH N D ER
BEATEN	B IY T AH N
FINGERS	F IH NG G ER Z
LIBERTY	L IH B ER T IY
CHILDREN	CH IH L D R AH N
WORSER	W ER S ER
INHERITORS	IH N HH EH R AH T ER Z
ABOVE	AH B AH V
GUILTY	G IH L T IY
MATCHETH	M AE CH IH TH
NEW	N UW
NEW(2)	N Y UW
POORLY	P UW R L IY
EVER	EH V ER
TOLD	T OW L D
DEEMED	D IY M D
MERCHANDIZED	M AH R CH AH N D AY Z D
SINKS	S IH NG K S
JOIN	JH OY N
NEVER	N EH V ER
HERE	HH IY R
HERD	HH ER D
BECK	B EH K
SWEET'ST	S W IY T S T
PURSUIT	P ER S UW T
ACTIVE	AE K T IH V
SPIES	S P AY Z
EFFECTUALLY	IH F EH K CH AH W AH L IY
DRY	D R AY
RESTY	R EH S T IY
SUBSTANCE	S AH B S T AH N S
GAOL	G EY AH L
LEAVES	L IY V Z
CLIMBED	K L AY M D
CREDIT	K R EH D AH T
CREDIT(2)	K R EH D IH T
SAINT	S EY N T
SMOKE	S M OW K
PERMIT	P ER M IH T
BETTERED	B EH T ER D
MISTAKE	M IH S T EY K
SETTLED	S EH T AH L D
POLITIC	P AA L AH T IH K
GOLDEN	G OW L D AH N
SWEARING	S W EH R IH NG
DIVIDE	D IH V AY D
MOTLEY	M AA T L IY
SORROWS	S AA R OW Z
PATIENCE	P EY SH AH N S
STERN	S T ER N
GLANCE	G L AE N S
