EX,VBG,1
CC,RBR,10
PRP,PRP,95
IN,TO,123
WDT,WDT,1
PRP,CC,182
IN,WDT,84
WDT,NN,193
RBR,CC,8
WRB,VB,1
IN,NN,5087
IN,JJR,73
JJ,MD,45
VBZ,WP,15
NN,WRB,299
WDT,IN,99
VBG,NNS,296
CC,JJR,60
VBZ,RBR,7
PRP$,NNP,1
RBS,DT,1
PRP$,EX,1
EX,CC,4
VBN,EX,4
PRP$,VBN,143
VBD,NNP,1
JJR,VBP,4
DT,VBD,82
VBN,PRP,145
WP,-NONE-,3
JJ,JJS,10
NN,NN,8039
NNS,WP,77
JJ,NN,5427
WP$,VBG,8
DT,NNP,98
NNS,PRP$,273
JJS,DT,7
VBN,WP,8
VBD,PDT,4
JJR,PRP,11
JJS,TO,6
DT,CD,52
TO,VBP,6
PRP,MD,562
PRP,WP,96
PRP,VB,222
CD,NN,186
CC,WP$,2
TO,JJ,117
VBG,RB,124
TO,JJS,1
EX,NN,18
MD,MD,4
RB,VBZ,343
EX,DT,17
VBD,NN,507
EX,VB,8
WDT,NNS,48
RBS,NNS,1
EX,VBZ,74
DT,PRP,161
VBP,RP,46
VBZ,DT,553
WRB,JJS,2
NNP,WP,1
PDT,IN,1
RB,PRP$,181
VBZ,TO,87
CC,WP,43
WDT,DT,77
RBR,DT,5
PRP$,VBP,3
JJ,VB,5
VB,VBP,14
WDT,RB,76
VBP,NN,310
MD,IN,46
IN,RB,531
VBP,TO,176
RP,WP,1
DT,RBS,6
VB,VBN,307
WDT,VB,9
NNP,VBP,1
TO,VBN,14
JJS,NNS,60
JJS,VBD,3
CD,TO,5
IN,WRB,74
MD,PRP,106
CC,RB,704
RB,VB,572
PDT,VBG,2
JJR,JJR,2
DT,MD,57
RB,JJ,794
DT,WP,48
VBG,RP,25
VBD,-NONE-,3
DT,PRP$,192
JJ,VBP,32
NN,WDT,366
VBP,WRB,37
NNP,PRP,1
CC,DT,779
VBN,IN,682
RB,VBN,369
JJR,WRB,2
CC,PRP,349
NNP,DT,1
WP$,VBZ,1
PRP,NNS,24
RB,PRP,360
WP,VBZ,79
MD,VB,1549
VBD,EX,6
VBG,NN,674
DT,DT,396
VBP,-NONE-,4
-NONE-,DT,2
RP,VBN,3
WRB,JJ,236
IN,DT,5654
WDT,CC,4
WP,RBS,2
CD,VBP,7
WP,NN,188
VBP,MD,37
PRP,JJR,48
JJ,PRP,143
JJR,JJ,70
RP,CD,2
RBR,IN,37
PRP,EX,6
MD,RBR,1
JJ,TO,202
PDT,DT,3
RB,VBG,179
CC,CC,5
VBP,WP,30
VBD,IN,950
RBR,MD,8
NNP,CC,1
JJ,CD,15
VBD,VBD,13
NNS,VB,70
NNS,MD,176
CC,VBD,723
WRB,PRP$,51
CD,CD,2
PRP$,NN,3342
JJR,PRP$,7
JJS,JJR,1
RB,JJS,14
PRP,PRP$,58
WRB,IN,101
VBP,VBZ,31
JJ,VBD,46
IN,CD,173
PDT,-NONE-,1
VBN,WRB,17
CC,CD,36
NNS,WP$,23
RBR,JJ,64
NNP,NN,133
JJ,IN,931
VBG,CC,70
EX,MD,28
EX,WRB,4
-NONE-,RB,6
VBP,JJS,12
VBD,TO,201
NN,JJS,25
IN,VBD,45
WDT,WRB,4
JJR,MD,5
PRP,DT,199
WP,PDT,1
VBD,WP$,3
IN,IN,742
NNS,CC,829
RBR,TO,7
NNP,RBR,1
-NONE-,NNS,4
MD,VBN,1
PRP,TO,131
DT,JJR,103
DT,NN,9549
VBN,JJ,160
PRP,VBZ,609
DT,EX,4
VBN,VB,7
WP,NNS,117
VB,CC,264
VBN,DT,220
JJ,WRB,42
PRP$,JJ,761
TO,RB,25
DT,RBR,100
WRB,MD,46
PRP$,DT,21
CD,IN,52
IN,PDT,7
WDT,MD,39
EX,VBN,2
VBD,VBP,28
IN,EX,17
NN,IN,6267
VBP,IN,630
RB,MD,168
RB,RBS,4
VBD,JJR,7
VBN,PRP$,116
PRP$,PRP,8
EX,PRP$,2
WP$,DT,1
JJR,TO,17
VBN,VBG,27
NN,RBR,33
VBP,VBN,515
CD,WP$,4
VBD,VB,50
VB,NN,340
TO,NNS,84
WP$,NNS,29
NN,EX,49
WRB,VBN,33
NNS,JJR,16
NNS,VBP,1786
NNS,NN,297
TO,VBG,17
EX,VBP,19
MD,PRP$,37
NN,RP,18
JJS,CD,1
JJ,WP,23
VBN,VBN,64
JJR,DT,23
WP,JJ,53
VBZ,JJR,16
VBP,VB,22
DT,TO,37
RB,NN,344
PRP,NN,114
PRP$,WP$,2
DT,VBZ,126
-NONE-,NN,12
RP,NN,11
VBZ,RB,270
IN,WP,112
JJS,RB,16
VBG,WP,8
PRP$,RB,54
WP,MD,58
WP$,RB,6
RBS,RB,5
WP,WRB,3
-NONE-,IN,2
MD,JJ,4
-NONE-,VB,1
PRP$,CC,17
PDT,PRP$,1
DT,RB,322
RB,RP,6
PRP,RP,9
VB,JJ,351
VBP,WDT,5
VB,DT,535
NNS,-NONE-,9
TO,NN,270
PDT,NNS,4
PRP$,VBG,11
JJ,RP,1
VB,CD,17
WP$,VBN,7
TO,CD,17
NN,VBP,270
-NONE-,VBN,2
PRP,IN,632
WDT,VBZ,121
VB,PRP,348
NN,JJ,360
WDT,VBD,72
IN,PRP,1294
WRB,VBZ,20
IN,VB,8
VB,WP$,1
WP$,MD,1
WP,VBD,51
WDT,JJR,5
VBD,WRB,30
VBN,TO,147
VBN,VBZ,15
NNS,NNS,174
NN,NNP,2
PRP$,MD,21
VB,IN,500
WRB,DT,301
WRB,CC,8
PRP$,WDT,1
MD,JJR,1
RP,PRP,7
JJR,EX,1
DT,WP$,5
EX,RB,6
EX,IN,14
-NONE-,VBG,1
CC,NNP,7
CD,JJR,7
RB,IN,1054
NN,TO,867
CD,DT,13
RBR,RB,7
WRB,NNS,88
VBP,NNS,155
IN,NNP,70
RB,RB,658
PRP,RB,614
VBD,VBN,462
VB,PDT,7
WRB,RBS,1
WRB,EX,1
VBG,VBD,13
MD,VBG,7
TO,RBR,3
NNP,VBD,5
JJ,RB,137
WP,WP,1
TO,VB,1959
MD,NN,8
NN,VBN,296
TO,DT,479
CD,NNS,67
NNS,VBZ,80
VBD,PRP$,217
CC,VB,564
VBN,RB,156
NNS,TO,278
DT,WDT,26
-NONE-,VBZ,7
VBD,JJS,5
NNS,JJ,209
TO,WDT,8
MD,CD,4
VB,RBR,9
JJ,CC,518
VBP,RB,501
PRP$,CD,10
VBZ,PRP,151
IN,VBN,259
CC,VBG,252
JJR,RB,26
JJS,VB,3
DT,IN,186
VBZ,EX,7
VBG,TO,72
TO,PRP$,202
VBG,RBS,2
VBZ,RBS,1
TO,WP,8
VBG,PRP,75
JJ,NNS,1808
-NONE-,VBD,1
PRP$,RP,2
PRP,WP$,21
PRP,VBP,2333
PRP$,VBD,7
NN,VBG,468
JJR,VBN,10
WDT,PRP$,23
CD,EX,1
IN,PRP$,1882
PRP$,IN,44
VBN,NNS,320
RB,-NONE-,2
IN,MD,62
-NONE-,MD,2
VBP,DT,538
VBN,JJS,1
VBD,VBZ,32
JJR,NNS,46
RBR,PRP$,5
JJS,IN,43
VBD,JJ,323
RB,EX,5
VBD,WDT,2
NNS,PRP,344
VBG,VBP,13
CC,JJ,806
WP,RB,101
RB,VBP,430
PRP$,JJS,16
RB,WDT,7
PRP,WDT,4
RBR,VBN,8
WDT,PRP,107
VBP,VBG,74
VBG,EX,4
NNP,JJ,19
VB,WDT,4
VBG,JJR,9
IN,JJS,88
WP$,JJ,35
VBZ,CC,120
TO,VBZ,2
VBZ,IN,412
MD,RB,284
DT,JJ,3089
VBN,NN,765
NNS,WDT,365
PRP$,VBZ,7
VBZ,PRP$,110
RBS,IN,1
DT,VBP,59
VB,EX,2
CD,JJ,85
VBG,WRB,19
WRB,NN,190
CC,IN,807
JJR,VBZ,4
VBN,CD,10
TO,NNP,13
VB,JJR,6
CD,VBN,15
CD,CC,14
VBG,VB,1
EX,PRP,6
VB,RP,35
VB,VBD,4
TO,VBD,8
RB,CD,29
VBZ,MD,14
MD,NNS,13
VBZ,VB,14
WDT,CD,7
VBZ,JJ,274
JJS,JJ,51
JJR,WP,1
JJS,WRB,1
PRP$,NNS,923
NN,RB,1196
VBZ,VBZ,12
JJS,VBP,6
TO,MD,1
RB,VBD,312
DT,VBG,169
VBN,CC,171
RP,PRP$,14
MD,DT,61
RBR,VBZ,5
DT,NNS,1620
CC,WDT,4
VBD,VBG,48
VBG,DT,205
VBG,IN,512
NN,VB,178
WP,VBN,70
JJS,PRP$,6
CD,VBZ,8
PRP,JJ,84
JJS,JJS,4
CD,VBD,14
CD,VBG,19
RBS,JJ,15
JJ,WP$,6
JJ,WDT,13
RBR,WP,1
VBZ,VBG,59
VBG,CD,5
CC,JJS,35
RP,TO,14
RB,WRB,87
VB,RB,238
VB,VBZ,20
VBP,JJR,20
RP,VB,1
VBN,WDT,2
WDT,VBG,17
PRP$,TO,11
IN,VBG,285
VBZ,WRB,19
CC,VBN,181
VBN,RBR,4
CD,WDT,7
NNS,RB,437
NN,PRP,1250
CC,VBP,296
MD,VBD,1
VBG,MD,16
DT,JJS,142
VBP,WP$,5
JJ,VBZ,79
NNS,WRB,123
VBN,JJR,3
EX,NNS,7
MD,WRB,2
VBZ,VBN,474
PRP,VBG,72
VBP,EX,1
CC,NNS,651
NNS,VBD,447
VB,WRB,38
WRB,VBG,27
VB,NNS,106
NNS,IN,2405
RBS,NN,1
VBD,NNS,205
