RB,JJS,IN,2
NNS,DT,VBP,2
WP,RB,PRP,5
CD,VBZ,NN,1
JJ,JJ,JJ,20
CC,IN,VBG,6
CD,VBZ,IN,2
WRB,PRP,TO,1
MD,PRP,VB,55
VBZ,IN,IN,14
NN,JJS,VBD,1
VBD,VBP,PRP$,1
NNS,NN,PRP,7
PRP,JJ,DT,4
RB,VBP,VBZ,7
CD,WDT,RB,1
VBP,VBZ,VBN,8
VBD,RP,CC,1
PRP$,VBZ,PRP$,2
CD,WDT,MD,2
CC,PRP,JJR,1
WP,RB,NN,1
JJ,RB,CC,5
JJ,JJ,NN,221
VBZ,VBP,RB,4
DT,VBD,CC,3
VBZ,TO,PRP,8
IN,WP,VBZ,5
WDT,NN,VBZ,14
IN,TO,VB,51
RB,VBZ,JJ,22
VB,PRP,VBP,16
WP,IN,PRP,5
IN,WDT,VBD,1
WP$,NN,MD,2
RB,IN,JJ,109
RB,WDT,VBN,1
MD,RB,PRP$,5
TO,DT,DT,11
VBG,EX,IN,1
TO,PRP$,CC,1
RB,VBZ,NN,26
IN,WP,CC,1
VBN,NNS,-NONE-,1
NN,IN,PDT,1
RB,VBP,NN,25
PRP,VBD,NNS,13
RB,VB,RB,24
JJS,RB,RB,1
IN,IN,PDT,3
VB,CC,JJS,1
VBG,DT,DT,9
VBG,PRP$,NN,45
VBP,PRP$,DT,1
PRP,DT,IN,6
VBZ,NN,NN,36
NN,WP,VBG,1
VBG,VBZ,CC,1
IN,VBZ,TO,3
NNS,WP$,JJ,3
NN,VBZ,IN,163
JJ,WP,NN,5
IN,PRP$,NNS,274
VB,NNS,NN,2
NN,VB,VBG,1
MD,IN,DT,9
DT,NN,VBZ,576
CC,WRB,PRP$,8
NN,VBP,CC,5
CC,IN,DT,293
RB,NNS,NN,1
CC,IN,VBN,3
CC,WP,MD,5
VBP,NN,IN,51
PRP$,NN,EX,5
TO,CD,DT,1
RBR,VBG,NN,1
NN,IN,NNP,30
VBN,VBD,JJ,1
IN,WDT,IN,9
RB,MD,PRP$,6
CC,JJ,DT,46
DT,RB,VBZ,28
IN,DT,VBG,58
VBG,VBN,JJ,2
VBD,VB,PRP$,4
VBN,NN,NN,71
MD,VBG,NN,1
TO,DT,RBR,1
VBD,NN,VB,2
VB,VBD,JJ,1
WP,PRP,MD,11
VB,PRP$,IN,3
VB,VB,JJ,5
VBD,CC,NNP,1
VB,JJ,PRP$,6
PRP,VBZ,PRP,43
NNS,VBZ,PRP$,1
CC,PRP$,NNS,29
JJ,VBZ,IN,2
IN,WP$,VBG,1
WDT,IN,JJS,2
RB,TO,CC,2
PRP,NN,CC,8
NN,CC,VBD,117
PRP$,RB,DT,1
RB,VBG,JJ,10
IN,WRB,DT,23
MD,RB,PRP,1
JJ,VBG,NN,1
PRP,PRP,CC,1
IN,MD,CC,3
VBN,VBP,NN,1
WRB,IN,VBZ,1
VBN,VBN,NN,5
VBP,NN,VBD,3
IN,RB,PRP,33
WDT,VBD,VB,1
VBZ,VBN,IN,95
WP$,DT,NN,1
VB,CD,JJ,2
WP,VBN,JJ,2
VBN,TO,WP,1
NN,NNS,WRB,37
JJR,TO,PRP$,2
WP$,NN,NN,21
NNS,EX,VBD,1
JJ,DT,VBP,1
JJ,PRP,WP,2
VB,JJ,RBR,1
RB,VBZ,VBP,5
CC,NN,MD,30
IN,PRP$,VBP,2
RB,VBN,NNS,7
VBG,RB,WP,1
DT,JJS,JJS,4
VBP,WRB,IN,1
IN,VBN,VBP,3
JJ,VBZ,RBR,1
VBD,PRP,EX,1
VBN,VBZ,JJ,2
PRP$,PRP,PRP$,1
CC,MD,RBR,1
IN,DT,VBN,133
VBG,VBN,RP,2
RB,IN,VBP,2
VBP,NNS,MD,4
VBN,RP,TO,1
IN,NNS,WP,12
NNS,WRB,JJ,16
JJ,RB,JJ,12
VBD,PDT,NN,1
IN,PRP$,CC,8
RB,WRB,NN,5
PRP,VBG,IN,16
DT,VBP,WP,1
VBD,PRP$,CC,1
NN,WP$,NNS,10
PRP$,WRB,IN,1
NN,WDT,MD,15
CD,TO,PRP$,1
VBG,VBP,DT,1
JJS,VBG,NNS,2
IN,WP$,VBN,3
TO,NNS,VBP,3
RB,TO,DT,26
VBZ,NNS,WP,2
PRP,IN,MD,1
NN,CD,VBD,1
WP,DT,PRP$,1
VBG,VBN,PRP,1
VBD,TO,PRP$,5
VBP,-NONE-,VBZ,1
VBP,JJR,NN,1
PRP,WRB,DT,3
VBD,JJ,VBZ,1
CC,VBP,RP,8
VBZ,NN,VBZ,8
VBP,DT,JJ,84
PRP$,JJ,NN,431
IN,EX,MD,1
DT,NN,VBD,312
RB,WP,NNS,2
VBD,CD,NN,11
WP$,JJ,VBG,1
VBN,NN,VBD,17
DT,VBZ,DT,33
RB,PRP,VB,4
VBD,NNS,NN,12
VBP,JJR,JJ,5
VBN,CC,VB,3
VBD,PRP,JJS,1
PRP,JJS,CC,1
PRP$,NN,JJR,4
IN,VBD,VBZ,1
VBP,JJ,JJS,1
RB,VBP,VBG,3
JJS,TO,NN,1
VBZ,RB,PRP,6
IN,VB,JJ,3
EX,PRP$,NN,2
PRP,PRP,DT,2
JJR,EX,VBZ,1
DT,TO,PRP,3
TO,RB,RB,1
VBN,RB,IN,31
JJ,NN,NN,1059
VBP,NN,VB,2
PRP,VBD,PRP,108
RB,IN,VBG,17
CC,NNP,IN,1
PRP,NNS,CD,1
WRB,VBG,PRP,1
VBP,IN,WRB,4
CC,WP,VB,1
VBP,IN,EX,1
WRB,NN,NN,18
NN,PRP,WRB,12
